variavel,importancia
tracado_via_Em Obras;Rotatória;Reta,8.359242347925779e-06
tracado_via_Declive;Rotatória;Reta,8.253794687154905e-06
tracado_via_Retorno Regulamentado;Declive,8.206320666636113e-06
tracado_via_Reta;Interseção de Vias;Retorno Regulamentado;Rotatória,7.916169865974712e-06
tracado_via_Em Obras;Rotatória;Retorno Regulamentado,7.832957310943254e-06
tracado_via_Em Obras;Interseção de Vias;Rotatória,7.786728112983634e-06
tracado_via_Interseção de Vias;Reta;Aclive;Viaduto,7.380221456826771e-06
tracado_via_Reta;Interseção de Vias;Em Obras;Aclive,7.363139135217625e-06
tracado_via_Curva;Interseção de Vias;Em Obras,7.29654658054626e-06
tracado_via_Reta;Interseção de Vias;Declive;Viaduto,7.296296458885768e-06
tracado_via_Aclive;Reta;Desvio Temporário,7.070501615706185e-06
tracado_via_Curva;Rotatória;Retorno Regulamentado,7.0534788402636346e-06
tracado_via_Curva;Interseção de Vias;Viaduto;Retorno Regulamentado,6.959015329516555e-06
tracado_via_Em Obras;Ponte;Viaduto;Reta,6.916588502350733e-06
tracado_via_Viaduto;Declive;Interseção de Vias,6.881499537788685e-06
tracado_via_Rotatória;Aclive;Curva,6.767985566872969e-06
tracado_via_Aclive;Desvio Temporário,6.696750977067229e-06
tracado_via_Reta;Em Obras;Retorno Regulamentado,6.444882808661113e-06
tracado_via_Aclive;Em Obras;Curva,6.429591283560399e-06
tracado_via_Retorno Regulamentado;Rotatória;Declive,6.41586753496681e-06
tracado_via_Interseção de Vias;Retorno Regulamentado;Declive,6.415046462582356e-06
tracado_via_Retorno Regulamentado;Em Obras,6.351875988889261e-06
tracado_via_Viaduto;Curva;Declive,6.240548993603511e-06
tracado_via_Viaduto;Reta;Interseção de Vias,6.226163058189488e-06
tracado_via_Em Obras;Reta;Viaduto;Aclive,6.100017155545796e-06
tracado_via_Interseção de Vias;Ponte;Reta;Em Obras;Declive,5.997830326253775e-06
tracado_via_Desvio Temporário;Em Obras;Reta;Aclive,5.972818104216792e-06
tracado_via_Rotatória;Interseção de Vias;Retorno Regulamentado,5.912121588569735e-06
tracado_via_Declive;Reta;Viaduto,5.909118658299282e-06
tracado_via_Curva;Retorno Regulamentado;Interseção de Vias,5.807680995469461e-06
tracado_via_Reta;Aclive;Interseção de Vias;Rotatória,5.787983211422111e-06
tracado_via_Desvio Temporário;Curva;Declive,5.741760982526508e-06
tracado_via_Retorno Regulamentado;Aclive;Reta,5.674206092468307e-06
tracado_via_Curva;Aclive;Viaduto;Retorno Regulamentado,5.5248454868040884e-06
tracado_via_Rotatória;Retorno Regulamentado;Reta;Interseção de Vias,5.48650514605955e-06
tracado_via_Reta;Em Obras;Viaduto;Interseção de Vias,5.4711927449879066e-06
